time,date,fit_name_rds,months,n_stations,n_obs,df,model_overdisp,model_varinfl,run_time,objective,family,fixed,random,zi_formula
03:39:51,2020-09-07,glmmTMB_fit_m345_20s_genpois_033951,"3,4,5",20,44140,95,0.85,0.479,763,58356,genpois,trips ~ hour * workday + precip_yn + temperature_30_c15 + I(temperature_30_c15^2) + daily_uv_index_10_c5 + I(daily_uv_index_10_c5^2) + humidity_100_c60 + I(humidity_100_c60^2) + dew_point_30_c7 + I(dew_point_30_c7^2) + total_trend_yearly + sin_year + cos_year + in_service_fct ,us(1 | start_station_name) + ar1(0 + hour | start_station_name) + ar1(0 + hour:workday | start_station_name) + ar1(0 + hour:precip_yn | start_station_name) + ar1(0 + hour:total_trend_yearly | start_station_name) + ar1(0 + hour:sin_year | start_station_name) + ar1(0 + hour:cos_year | start_station_name) + ar1(0 + hour:workday:total_trend_yearly | start_station_name) + ar1(0 + hour:workday:sin_year | start_station_name) + ar1(0 + hour:workday:cos_year | start_station_name) + ar1(0 + hour:precip_yn:temperature_30_c15 + hour:precip_yn:I(temperature_30_c15^2) | start_station_name) + ar1(0 + hour:temperature_30_c15 + hour:I(temperature_30_c15^2) | start_station_name) + ar1(0 + hour:humidity_100_c60 + hour:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:dew_point_30_c7 + hour:I(dew_point_30_c7^2) | start_station_name) + ar1(0 + hour:workday:temperature_30_c15 + hour:workday:I(temperature_30_c15^2) | start_station_name) + ar1(0 + hour:workday:humidity_100_c60 + hour:workday:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:workday:dew_point_30_c7 + hour:workday:I(dew_point_30_c7^2) | start_station_name), 
14:47:39,2020-09-07,glmmTMB_fit_m345_20s_genpois_144739,"3,4,5",20,44140,95,0.85,0.48,746,58359,genpois,trips ~ hour * workday + precip_yn + temperature_45_c15 + I(temperature_45_c15^2) + daily_uv_index_10_c5 + I(daily_uv_index_10_c5^2) + humidity_100_c60 + I(humidity_100_c60^2) + dew_point_45_c7 + I(dew_point_45_c7^2) + total_trend_yearly_r_01_c + sin_year_r_01_c + cos_year_r_01_c + in_service_fct ,us(1 | start_station_name) + ar1(0 + hour | start_station_name) + ar1(0 + hour:workday | start_station_name) + ar1(0 + hour:precip_yn | start_station_name) + ar1(0 + hour:total_trend_yearly_r_01_c | start_station_name) + ar1(0 + hour:sin_year_r_01_c | start_station_name) + ar1(0 + hour:cos_year_r_01_c | start_station_name) + ar1(0 + hour:workday:total_trend_yearly_r_01_c | start_station_name) + ar1(0 + hour:workday:sin_year_r_01_c | start_station_name) + ar1(0 + hour:workday:cos_year_r_01_c | start_station_name) + ar1(0 + hour:precip_yn:temperature_45_c15 + hour:precip_yn:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:temperature_45_c15 + hour:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:humidity_100_c60 + hour:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:dew_point_45_c7 + hour:I(dew_point_45_c7^2) | start_station_name) + ar1(0 + hour:workday:temperature_45_c15 + hour:workday:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:workday:humidity_100_c60 + hour:workday:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:workday:dew_point_45_c7 + hour:workday:I(dew_point_45_c7^2) | start_station_name), 
16:45:20,2020-09-07,glmmTMB_fit_m345_20s_genpois_164520,"3,4,5",20,44140,95,0.85,0.48,815,58359,genpois,trips ~ hour * workday + precip_yn + temperature_45_c15 + I(temperature_45_c15^2) + daily_uv_index_10_c5 + I(daily_uv_index_10_c5^2) + humidity_100_c60 + I(humidity_100_c60^2) + dew_point_45_c7 + I(dew_point_45_c7^2) + total_trend_yearly + sin_year + cos_year + in_service_fct ,us(1 | start_station_name) + ar1(0 + hour | start_station_name) + ar1(0 + hour:workday | start_station_name) + ar1(0 + hour:precip_yn | start_station_name) + ar1(0 + hour:total_trend_yearly | start_station_name) + ar1(0 + hour:sin_year | start_station_name) + ar1(0 + hour:cos_year | start_station_name) + ar1(0 + hour:workday:total_trend_yearly | start_station_name) + ar1(0 + hour:workday:sin_year | start_station_name) + ar1(0 + hour:workday:cos_year | start_station_name) + ar1(0 + hour:precip_yn:temperature_45_c15 + hour:precip_yn:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:temperature_45_c15 + hour:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:humidity_100_c60 + hour:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:dew_point_45_c7 + hour:I(dew_point_45_c7^2) | start_station_name) + ar1(0 + hour:workday:temperature_45_c15 + hour:workday:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:workday:humidity_100_c60 + hour:workday:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:workday:dew_point_45_c7 + hour:workday:I(dew_point_45_c7^2) | start_station_name), 
17:21:48,2020-09-07,glmmTMB_fit_m345_20s_genpois_172147,"3,4,5",20,44140,95,0.85,0.48,812,58360,genpois,trips ~ hour * workday + precip_yn + temperature_45_c15 + I(temperature_45_c15^2) + daily_uv_index_10_c5 + I(daily_uv_index_10_c5^2) + humidity_100_c60 + I(humidity_100_c60^2) + dew_point_45_c7 + I(dew_point_45_c7^2) + total_trend_yearly + sin_year_r_01_c + cos_year_r_01_c + in_service_fct ,us(1 | start_station_name) + ar1(0 + hour | start_station_name) + ar1(0 + hour:workday | start_station_name) + ar1(0 + hour:precip_yn | start_station_name) + ar1(0 + hour:total_trend_yearly | start_station_name) + ar1(0 + hour:sin_year_r_01_c | start_station_name) + ar1(0 + hour:cos_year_r_01_c | start_station_name) + ar1(0 + hour:workday:total_trend_yearly | start_station_name) + ar1(0 + hour:workday:sin_year_r_01_c | start_station_name) + ar1(0 + hour:workday:cos_year_r_01_c | start_station_name) + ar1(0 + hour:precip_yn:temperature_45_c15 + hour:precip_yn:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:temperature_45_c15 + hour:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:humidity_100_c60 + hour:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:dew_point_45_c7 + hour:I(dew_point_45_c7^2) | start_station_name) + ar1(0 + hour:workday:temperature_45_c15 + hour:workday:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:workday:humidity_100_c60 + hour:workday:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:workday:dew_point_45_c7 + hour:workday:I(dew_point_45_c7^2) | start_station_name), 
17:42:14,2020-09-07,glmmTMB_fit_m345_20s_genpois_174213,"3,4,5",20,44140,95,0.85,0.48,830,58359,genpois,trips ~ hour * workday + precip_yn + temperature_45_c15 + I(temperature_45_c15^2) + daily_uv_index_10_c5 + I(daily_uv_index_10_c5^2) + humidity_100_c60 + I(humidity_100_c60^2) + dew_point_45_c7 + I(dew_point_45_c7^2) + total_trend_yearly_r_01_c + sin_year + cos_year + in_service_fct ,us(1 | start_station_name) + ar1(0 + hour | start_station_name) + ar1(0 + hour:workday | start_station_name) + ar1(0 + hour:precip_yn | start_station_name) + ar1(0 + hour:total_trend_yearly_r_01_c | start_station_name) + ar1(0 + hour:sin_year | start_station_name) + ar1(0 + hour:cos_year | start_station_name) + ar1(0 + hour:workday:total_trend_yearly_r_01_c | start_station_name) + ar1(0 + hour:workday:sin_year | start_station_name) + ar1(0 + hour:workday:cos_year | start_station_name) + ar1(0 + hour:precip_yn:temperature_45_c15 + hour:precip_yn:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:temperature_45_c15 + hour:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:humidity_100_c60 + hour:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:dew_point_45_c7 + hour:I(dew_point_45_c7^2) | start_station_name) + ar1(0 + hour:workday:temperature_45_c15 + hour:workday:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:workday:humidity_100_c60 + hour:workday:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:workday:dew_point_45_c7 + hour:workday:I(dew_point_45_c7^2) | start_station_name), 
18:51:41,2020-09-07,glmmTMB_fit_m345_20s_genpois_185140,"3,4,5",20,44140,95,0.85,0.48,869,58359,genpois,trips ~ hour * workday + precip_yn + temperature_45_c15 + I(temperature_45_c15^2) + daily_uv_index_10_c5 + I(daily_uv_index_10_c5^2) + humidity_100_c60 + I(humidity_100_c60^2) + dew_point_45_c7 + I(dew_point_45_c7^2) + total_trend_yearly + sin_year + cos_year + in_service_fct ,us(1 | start_station_name) + ar1(0 + hour | start_station_name) + ar1(0 + hour:workday | start_station_name) + ar1(0 + hour:precip_yn | start_station_name) + ar1(0 + hour:total_trend_yearly | start_station_name) + ar1(0 + hour:sin_year | start_station_name) + ar1(0 + hour:cos_year | start_station_name) + ar1(0 + hour:workday:total_trend_yearly | start_station_name) + ar1(0 + hour:workday:sin_year | start_station_name) + ar1(0 + hour:workday:cos_year | start_station_name) + ar1(0 + hour:precip_yn:temperature_45_c15 + hour:precip_yn:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:temperature_45_c15 + hour:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:humidity_100_c60 + hour:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:dew_point_45_c7 + hour:I(dew_point_45_c7^2) | start_station_name) + ar1(0 + hour:workday:temperature_45_c15 + hour:workday:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:workday:humidity_100_c60 + hour:workday:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:workday:dew_point_45_c7 + hour:workday:I(dew_point_45_c7^2) | start_station_name), 
20:11:04,2020-09-07,glmmTMB_fit_m345_20s_genpois_201103,"3,4,5",20,44140,95,0.85,0.48,790,58359,genpois,trips ~ hour * workday + precip_yn + temperature_45_c15 + I(temperature_45_c15^2) + daily_uv_index_10_c5 + I(daily_uv_index_10_c5^2) + humidity_100_c60 + I(humidity_100_c60^2) + dew_point_45_c7 + I(dew_point_45_c7^2) + total_trend_yearly_c05 + sin_year_r_2 + cos_year_r_2 + in_service_fct ,us(1 | start_station_name) + ar1(0 + hour | start_station_name) + ar1(0 + hour:workday | start_station_name) + ar1(0 + hour:precip_yn | start_station_name) + ar1(0 + hour:total_trend_yearly_c05 | start_station_name) + ar1(0 + hour:sin_year_r_2 | start_station_name) + ar1(0 + hour:cos_year_r_2 | start_station_name) + ar1(0 + hour:workday:total_trend_yearly_c05 | start_station_name) + ar1(0 + hour:workday:sin_year_r_2 | start_station_name) + ar1(0 + hour:workday:cos_year_r_2 | start_station_name) + ar1(0 + hour:precip_yn:temperature_45_c15 + hour:precip_yn:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:temperature_45_c15 + hour:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:humidity_100_c60 + hour:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:dew_point_45_c7 + hour:I(dew_point_45_c7^2) | start_station_name) + ar1(0 + hour:workday:temperature_45_c15 + hour:workday:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:workday:humidity_100_c60 + hour:workday:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:workday:dew_point_45_c7 + hour:workday:I(dew_point_45_c7^2) | start_station_name), 
21:22:49,2020-09-07,glmmTMB_fit_m345_20s_genpois_212248,"3,4,5",20,44140,95,0.85,0.48,852,58359,genpois,trips ~ hour * workday + precip_yn + temperature_45_c15 + I(temperature_45_c15^2) + daily_uv_index_10_c5 + I(daily_uv_index_10_c5^2) + humidity_100_c60 + I(humidity_100_c60^2) + dew_point_45_c7 + I(dew_point_45_c7^2) + total_trend_yearly_c05 + sin_year + cos_year + in_service_fct ,us(1 | start_station_name) + ar1(0 + hour | start_station_name) + ar1(0 + hour:workday | start_station_name) + ar1(0 + hour:precip_yn | start_station_name) + ar1(0 + hour:total_trend_yearly_c05 | start_station_name) + ar1(0 + hour:sin_year | start_station_name) + ar1(0 + hour:cos_year | start_station_name) + ar1(0 + hour:workday:total_trend_yearly_c05 | start_station_name) + ar1(0 + hour:workday:sin_year | start_station_name) + ar1(0 + hour:workday:cos_year | start_station_name) + ar1(0 + hour:precip_yn:temperature_45_c15 + hour:precip_yn:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:temperature_45_c15 + hour:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:humidity_100_c60 + hour:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:dew_point_45_c7 + hour:I(dew_point_45_c7^2) | start_station_name) + ar1(0 + hour:workday:temperature_45_c15 + hour:workday:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:workday:humidity_100_c60 + hour:workday:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:workday:dew_point_45_c7 + hour:workday:I(dew_point_45_c7^2) | start_station_name), 
21:44:27,2020-09-07,glmmTMB_fit_m345_20s_genpois_214426,"3,4,5",20,44140,95,0.85,0.48,1007,58359,genpois,trips ~ hour * workday + precip_yn + temperature_45_c15 + I(temperature_45_c15^2) + daily_uv_index_10_c5 + I(daily_uv_index_10_c5^2) + humidity_100_c60 + I(humidity_100_c60^2) + dew_point_45_c7 + I(dew_point_45_c7^2) + total_trend_yearly + sin_year_r_2 + cos_year_r_2 + in_service_fct ,us(1 | start_station_name) + ar1(0 + hour | start_station_name) + ar1(0 + hour:workday | start_station_name) + ar1(0 + hour:precip_yn | start_station_name) + ar1(0 + hour:total_trend_yearly | start_station_name) + ar1(0 + hour:sin_year_r_2 | start_station_name) + ar1(0 + hour:cos_year_r_2 | start_station_name) + ar1(0 + hour:workday:total_trend_yearly | start_station_name) + ar1(0 + hour:workday:sin_year_r_2 | start_station_name) + ar1(0 + hour:workday:cos_year_r_2 | start_station_name) + ar1(0 + hour:precip_yn:temperature_45_c15 + hour:precip_yn:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:temperature_45_c15 + hour:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:humidity_100_c60 + hour:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:dew_point_45_c7 + hour:I(dew_point_45_c7^2) | start_station_name) + ar1(0 + hour:workday:temperature_45_c15 + hour:workday:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:workday:humidity_100_c60 + hour:workday:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:workday:dew_point_45_c7 + hour:workday:I(dew_point_45_c7^2) | start_station_name), 
23:13:51,2020-09-07,glmmTMB_fit_m345_20s_genpois_231351,"3,4,5",20,44140,95,0.85,0.48,1046,58359,genpois,trips ~ hour * workday + precip_yn + temperature_45_c15 + I(temperature_45_c15^2) + daily_uv_index_10_c5 + I(daily_uv_index_10_c5^2) + humidity_100_c60 + I(humidity_100_c60^2) + dew_point_45_c7 + I(dew_point_45_c7^2) + total_trend_yearly + sin_year_r_2 + cos_year_r_2 + in_service_fct ,us(1 | start_station_name) + ar1(0 + hour | start_station_name) + ar1(0 + hour:workday | start_station_name) + ar1(0 + hour:precip_yn | start_station_name) + ar1(0 + hour:total_trend_yearly | start_station_name) + ar1(0 + hour:sin_year_r_2 | start_station_name) + ar1(0 + hour:cos_year_r_2 | start_station_name) + ar1(0 + hour:workday:total_trend_yearly | start_station_name) + ar1(0 + hour:workday:sin_year_r_2 | start_station_name) + ar1(0 + hour:workday:cos_year_r_2 | start_station_name) + ar1(0 + hour:precip_yn:temperature_45_c15 + hour:precip_yn:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:temperature_45_c15 + hour:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:humidity_100_c60 + hour:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:dew_point_45_c7 + hour:I(dew_point_45_c7^2) | start_station_name) + ar1(0 + hour:workday:temperature_45_c15 + hour:workday:I(temperature_45_c15^2) | start_station_name) + ar1(0 + hour:workday:humidity_100_c60 + hour:workday:I(humidity_100_c60^2) | start_station_name) + ar1(0 + hour:workday:dew_point_45_c7 + hour:workday:I(dew_point_45_c7^2) | start_station_name), 
